name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Mustafi,ARS,DEF,5.1,Doubtful,350,13,1,2.6,0.3
Bellerín,ARS,DEF,5.4,Available,352,9,1,2.2,0.4
Kolasinac,ARS,DEF,5.2,Injured,1086,34,1,2.1,0.5
Maitland-Niles,ARS,DEF,4.6,Available,1210,36,3,2.6,2.6
Sokratis,ARS,DEF,4.9,Available,1606,52,5,2.9,1.4
Monreal,ARS,DEF,5,NotAvail,270,10,1,3.3,0.2
Koscielny,ARS,DEF,5,NotAvail,0,0,0,0,0.1
Mavropanos,ARS,DEF,4.4,NotAvail,0,0,0,0,0
Jenkinson,ARS,DEF,4.5,NotAvail,0,0,0,0,0
Holding,ARS,DEF,4.5,Available,85,2,0,1,0.1
Aubameyang,ARS,FWD,10.7,Available,1943,127,24,5.8,14.4
Lacazette,ARS,FWD,9.3,Available,1187,60,6,3.5,2.2
Nketiah,ARS,FWD,4.3,Available,16,1,0,1,0.6
Leno,ARS,GKP,5,Available,2160,82,5,3.4,5.2
Özil,ARS,MID,7.2,Available,1118,35,1,2.5,1.1
Mkhitaryan,ARS,MID,6.8,NotAvail,110,4,0,1.3,0.8
Xhaka,ARS,MID,5.1,Available,1544,38,0,2.1,0.6
Torreira,ARS,MID,4.7,Available,1298,42,0,2,1.2
Elneny,ARS,MID,4.3,NotAvail,0,0,0,0,0.6
Guendouzi,ARS,MID,4.3,Available,1490,40,2,2,5.8
David Luiz,ARS,DEF,5.7,Available,1825,53,6,2.5,4.8
Martínez,ARS,GKP,4.3,Available,0,0,0,0,0.2
Chambers,ARS,DEF,4.4,Injured,1102,42,5,3,0.7
Ceballos,ARS,MID,5.2,Available,659,27,3,2.5,3
Pépé,ARS,MID,9.1,Available,1339,63,5,3,2.4
Nelson,ARS,MID,5.3,Injured,437,18,0,1.8,0.1
Willock,ARS,MID,4.8,Available,545,21,0,1.2,0.2
Martinelli,ARS,FWD,4.5,Available,566,37,5,2.8,2.9
Tierney,ARS,DEF,5.3,Injured,296,5,0,1,0.3
Saka,ARS,MID,4.5,Available,875,27,0,1.9,0.6
Smith Rowe,ARS,MID,4.3,NotAvail,96,4,0,2,0
John-Jules,ARS,FWD,4.5,NotAvail,0,0,0,0,0
El Mohamady,AVL,DEF,4.2,Available,701,19,5,1.7,0.9
Chester,AVL,DEF,4.3,Available,0,0,0,0,0.1
Taylor,AVL,DEF,4.3,Available,793,17,0,1.7,0.2
Hause,AVL,DEF,4.4,Available,720,13,0,1.6,0.1
Kodjia,AVL,FWD,5.4,NotAvail,111,5,0,0.8,0.1
Nyland,AVL,GKP,4.3,Available,177,3,0,1,0.2
Hourihane,AVL,MID,5.7,Available,843,50,6,3.1,0.2
Grealish,AVL,MID,6.7,Available,1973,107,14,4.9,24.7
El Ghazi,AVL,MID,5.5,Available,1493,71,0,3.4,1
McGinn,AVL,MID,5.4,Injured,1537,61,4,3.4,2.9
Green,AVL,MID,4.8,NotAvail,0,0,0,0,0
Bjarnason,AVL,MID,4.5,NotAvail,0,0,0,0,0
Davis,AVL,MID,4.3,Available,74,6,0,1,0.2
Lansbury,AVL,MID,4.4,Available,189,11,0,1.2,0.4
Jota,AVL,MID,5.8,Available,310,15,0,1.9,0.1
Heaton,AVL,GKP,4.4,Injured,1794,59,3,3,3.1
Drinkwater,AVL,MID,4.4,Available,258,5,0,1.2,0.6
Targett,AVL,DEF,4.4,Available,1328,57,10,3.6,0.9
Wesley,AVL,FWD,5.5,Injured,1782,67,7,3.2,0.9
Steer,AVL,GKP,4.3,Injured,7,1,0,1,0.1
Mings,AVL,DEF,4.5,Available,1732,55,5,2.8,2.8
Konsa,AVL,DEF,4.3,Available,1005,29,1,2.4,0.1
Engels,AVL,DEF,4.4,Available,1221,34,4,2.4,0.5
Guilbert,AVL,DEF,4.4,Available,1538,47,2,2.5,0.6
Trézéguet,AVL,MID,5.2,Available,1223,54,2,2.6,1.1
Douglas Luiz,AVL,MID,4.4,Available,1351,64,5,2.9,3.9
Kalinic,AVL,GKP,4.3,NotAvail,0,0,0,0,0.1
Nakamba,AVL,MID,4.4,Available,1347,29,0,1.7,0.8
Vassilev,AVL,MID,4.5,Available,36,2,0,1,0
Reina,AVL,GKP,4.5,Available,180,4,0,2,0.3
Samatta,AVL,FWD,6,Available,0,0,0,0,0
Steve Cook,BOU,DEF,5,Available,1650,44,5,2.3,0.2
Aké,BOU,DEF,4.8,Available,1654,55,5,2.9,6.4
Daniels,BOU,DEF,4.3,Injured,126,3,0,1.5,0.1
Mepham,BOU,DEF,4.3,Injured,901,26,2,2.4,0.7
Francis,BOU,DEF,4.4,Available,694,14,1,1.2,0
Adam Smith,BOU,DEF,4.3,Available,1107,35,3,2.7,0.4
Kelly,BOU,DEF,4.4,Available,0,0,0,0,0
Rico,BOU,DEF,4.3,Available,1613,58,5,3.1,11.6
Simpson,BOU,DEF,4,Available,167,3,0,1,7.4
Callum Wilson,BOU,FWD,7.4,Available,1896,78,6,3.4,4.8
King,BOU,FWD,6.1,Injured,1307,58,6,3.6,3.3
Solanke,BOU,FWD,5.2,Available,1136,38,0,1.8,0.3
Surridge,BOU,FWD,4.3,Available,15,1,0,1,0.5
Begovic,BOU,GKP,4.2,NotAvail,0,0,0,0,0.8
Boruc,BOU,GKP,4.3,Available,0,0,0,0,0.2
Travers,BOU,GKP,4.2,Available,90,1,0,1,0.2
Fraser,BOU,MID,6.9,Available,1688,58,2,2.5,2.7
Brooks,BOU,MID,6.3,Injured,0,0,0,0,0.1
Stanislas,BOU,MID,5.9,Injured,106,3,0,1.5,0
Ibe,BOU,MID,4.6,Available,48,2,0,1,0.1
Lewis Cook,BOU,MID,5,Available,830,28,0,1.6,0
Surman,BOU,MID,4.7,Available,57,3,0,1,0
Gosling,BOU,MID,4.9,Available,610,28,1,2.5,0.1
Lerma,BOU,MID,4.8,Available,1723,38,2,1.8,0.1
Stacey,BOU,DEF,4.3,Injured,796,23,3,2.6,0.1
Billing,BOU,MID,5,Available,1712,42,2,1.9,0.1
Danjuma,BOU,MID,5.8,Injured,405,18,0,2,0
Ramsdale,BOU,GKP,4.7,Available,2070,84,10,3.7,4.3
Harry Wilson,BOU,MID,5.8,Available,1198,75,7,3.8,2.1
Saydee,BOU,MID,4.5,Available,0,0,0,0,0
Kilkenny,BOU,MID,4.5,Available,0,0,0,0,0
Dobre,BOU,MID,4.5,Available,0,0,0,0,0
Duffy,BHA,DEF,4.8,Available,891,31,0,2.4,1
Montoya,BHA,DEF,4.4,Available,1465,53,3,2.6,0.7
Bernardo,BHA,DEF,4.3,Available,450,16,3,2,0.1
Balogun,BHA,DEF,4.4,Available,0,0,0,0,0.1
Bong,BHA,DEF,4.2,Available,57,3,0,0.8,0.1
Dunk,BHA,DEF,4.8,Available,1980,78,11,3.5,14.6
Clarke,BHA,DEF,4.4,NotAvail,0,0,0,0,0
Murray,BHA,FWD,5.4,Available,423,18,0,1.2,0.7
Locadia,BHA,FWD,5.2,NotAvail,85,3,0,1.5,0.1
Andone,BHA,FWD,4.7,NotAvail,71,5,1,1.7,0.4
Ryan,BHA,GKP,4.9,Available,2160,87,11,3.6,17.2
Button,BHA,GKP,3.9,Available,0,0,0,0,20.4
Groß,BHA,MID,6.3,Available,1335,58,5,2.8,0.5
Jahanbakhsh,BHA,MID,5.8,Available,247,20,2,4,0.1
Izquierdo,BHA,MID,5.4,Injured,0,0,0,0,0
Knockaert,BHA,MID,5.4,NotAvail,0,0,0,0,0
Bissouma,BHA,MID,5,Available,402,13,0,1.3,0
Pröpper,BHA,MID,4.8,Available,1890,49,0,2.3,0.3
March,BHA,MID,4.6,Available,628,22,3,2.4,0.2
Kayal,BHA,MID,4.3,Doubtful,0,0,0,0,0.2
Stephens,BHA,MID,4.4,Available,1849,46,1,2.1,2
Trossard,BHA,MID,5.8,Available,1072,65,6,3.6,0.6
Burn,BHA,DEF,4.5,Injured,1821,47,0,2.2,0.2
Webster,BHA,DEF,4.4,Available,1655,53,5,2.8,0.7
Maupay,BHA,FWD,5.9,Available,1806,87,12,3.6,2.6
Mooy,BHA,MID,4.8,Available,1222,53,9,3.1,0.7
Connolly,BHA,FWD,4.3,Available,812,40,3,2.5,1.2
Baluta,BHA,DEF,4,NotAvail,0,0,0,0,0.2
Alzate,BHA,MID,4.5,Available,1144,31,0,1.8,0.1
Schelotto,BHA,DEF,4,Available,123,4,0,1,0.5
Mee,BUR,DEF,5,Available,2160,68,1,2.8,0.8
Tarkowski,BUR,DEF,5.1,Available,2160,81,9,3.4,3.3
Lowton,BUR,DEF,4.2,Available,1260,35,0,2.5,0.4
Bardsley,BUR,DEF,4.3,Doubtful,900,29,0,2.9,0.2
Taylor,BUR,DEF,4.2,Available,925,33,1,2.8,0.8
Long,BUR,DEF,4.3,Available,2,1,0,1,0.1
Gibson,BUR,DEF,3.9,Doubtful,0,0,0,0,2.7
Barnes,BUR,FWD,6.2,Injured,1350,61,6,3.2,2.3
Wood,BUR,FWD,6.2,Available,1828,96,13,4.4,1.3
Vydra,BUR,FWD,5.3,Available,100,9,0,1.5,0.1
Pope,BUR,GKP,4.6,Available,2160,99,12,4.1,13.5
Hart,BUR,GKP,4.2,Available,0,0,0,0,1.1
Gudmundsson,BUR,MID,5.9,Doubtful,398,20,1,2.9,0.4
McNeil,BUR,MID,6,Available,2079,73,1,3,0.5
Brady,BUR,MID,5.5,Available,394,28,0,2.2,0
Defour,BUR,MID,5.5,NotAvail,0,0,0,0,0
Hendrick,BUR,MID,5.4,Available,1482,54,4,2.8,0.1
Westwood,BUR,MID,5.4,Available,1890,72,7,3.4,0.4
Cork,BUR,MID,4.9,Available,1915,50,0,2.3,0.2
Lennon,BUR,MID,4.6,Available,476,14,0,1,0.1
Pieters,BUR,DEF,4.3,Available,1233,42,7,2.8,4.5
Rodriguez,BUR,FWD,5.7,Available,949,48,3,2.1,0.2
Peacock-Farrell,BUR,GKP,4.4,Available,0,0,0,0,0.1
Goodridge,BUR,MID,4.5,Available,0,0,0,0,0
Driscoll-Glennon,BUR,DEF,4,NotAvail,0,0,0,0,0
Koiki,BUR,DEF,4,Available,0,0,0,0,0
Alonso,CHE,DEF,6,Available,588,47,5,5.9,2.1
Rüdiger,CHE,DEF,6,Available,765,21,0,2.3,0.3
Azpilicueta,CHE,DEF,5.8,Available,1969,77,7,3.5,5.9
Emerson,CHE,DEF,5.5,Available,1020,18,0,1.3,0.8
Christensen,CHE,DEF,4.9,Available,941,19,0,1.7,0.6
Zappacosta,CHE,DEF,4.3,NotAvail,0,0,0,0,0.2
Giroud,CHE,FWD,6.6,Doubtful,190,7,0,1.4,1
Kepa,CHE,GKP,5.5,Available,2160,63,0,2.6,4.8
Caballero,CHE,GKP,4.8,Available,0,0,0,0,0.2
Willian,CHE,MID,7.2,Available,1708,96,14,4.2,5.8
Pedro,CHE,MID,6.8,Available,310,10,0,2,1.1
Loftus-Cheek,CHE,MID,6.3,Injured,0,0,0,0,0.1
Hudson-Odoi,CHE,MID,5.3,Available,678,43,3,2.7,0.8
Barkley,CHE,MID,5.6,Available,471,14,0,1.6,1.2
Jorginho,CHE,MID,4.9,Available,1693,75,9,3.4,4
Kanté,CHE,MID,5,Available,1282,46,2,2.9,4.1
Ampadu,CHE,MID,4.4,NotAvail,0,0,0,0,0
Pulisic,CHE,MID,6.9,Injured,1069,70,5,4.4,3.8
Kovacic,CHE,MID,5.3,Available,1392,50,4,2.4,0.9
Zouma,CHE,DEF,4.7,Available,1668,37,1,1.9,1.7
Abraham,CHE,FWD,7.7,Doubtful,1829,128,20,5.6,27.7
Batshuayi,CHE,FWD,6.6,Available,139,25,1,1.8,0.5
Kenedy,CHE,MID,5.2,NotAvail,0,0,0,0,0
Mount,CHE,MID,6.1,Available,1889,89,6,3.7,15.5
James,CHE,DEF,5,Doubtful,675,39,5,3.2,0.6
Tomori,CHE,DEF,4.5,Available,1228,47,7,3.4,2.4
Gilmour,CHE,MID,4.5,Available,9,2,0,1,0
Guehi,CHE,DEF,4,NotAvail,0,0,0,0,0.1
Lamptey,CHE,DEF,4,Available,31,1,0,1,0.1
van Aanholt,CRY,DEF,5.5,Injured,1442,55,3,3.2,4.2
Tomkins,CRY,DEF,5,Available,1432,46,4,2.9,0.7
Sakho,CRY,DEF,5,Injured,465,7,0,0.9,0.1
Ward,CRY,DEF,4.3,Available,1132,40,5,2.7,1
Dann,CRY,DEF,4.3,Available,335,15,0,3,0.1
Kelly,CRY,DEF,4.4,Available,1547,64,4,3.4,28.8
Benteke,CRY,FWD,5.7,Injured,486,17,0,1.1,0.5
Wickham,CRY,FWD,4.4,Available,90,15,2,2.5,2.1
Guaita,CRY,GKP,5.1,Available,1980,86,10,3.9,2.4
Hennessey,CRY,GKP,4.3,Available,180,6,0,3,0.6
Zaha,CRY,MID,6.8,Available,2095,80,4,3.3,9.8
Milivojevic,CRY,MID,6.7,Available,1785,58,7,2.9,1.9
Townsend,CRY,MID,5.6,Injured,778,33,0,2.4,1
Meyer,CRY,MID,5.2,Available,509,16,0,1.5,0.1
Schlupp,CRY,MID,5.4,Injured,856,40,3,2.9,0.1
McArthur,CRY,MID,5.2,Available,2002,60,2,2.6,0.6
Kouyaté,CRY,MID,4.9,Available,1698,62,4,2.8,0.3
Dreher,CRY,MID,4.3,Available,0,0,0,0,0.1
Tosun,CRY,FWD,5.7,Available,458,22,1,2.8,0.3
McCarthy,CRY,MID,4.3,Available,799,22,0,1.2,0.7
Ayew,CRY,FWD,5,Available,1932,86,17,3.7,8
Cahill,CRY,DEF,4.4,Available,1350,38,3,2.5,1.2
Camarasa,CRY,MID,4.5,NotAvail,5,1,0,1,0.2
Riedewald,CRY,MID,4.5,Available,562,13,0,1.6,0
Henderson,CRY,GKP,4,Available,0,0,0,0,0.4
Woods,CRY,DEF,4,NotAvail,0,0,0,0,0.1
Mitchell,CRY,DEF,4,Available,0,0,0,0,0
Pierrick,CRY,MID,4.5,Available,7,1,0,1,0
Daly,CRY,FWD,4.5,Available,0,0,0,0,0
Kirby,CRY,MID,4.5,Available,0,0,0,0,0
McGregor,CRY,MID,4.5,Available,0,0,0,0,0
Iwobi,EVE,MID,5.6,Injured,1039,35,2,2.2,0.9
Digne,EVE,DEF,5.8,Available,1971,80,12,3.5,13
Mina,EVE,DEF,5.3,Available,1815,52,5,2.4,2
Keane,EVE,DEF,5.2,Available,1459,50,3,2.8,2
Coleman,EVE,DEF,5.3,Available,1072,31,2,1.9,1.1
Baines,EVE,DEF,4.9,Available,152,8,0,2.7,0.2
Calvert-Lewin,EVE,FWD,6.1,Available,1487,83,11,3.8,10.9
Pickford,EVE,GKP,5.3,Available,2160,75,3,3.1,7.2
Stekelenburg,EVE,GKP,4,Available,0,0,0,0,7.5
Richarlison,EVE,MID,8.1,Injured,1902,108,10,4.9,7.1
Sigurdsson,EVE,MID,7.3,Injured,1571,55,2,2.6,2.4
Bernard,EVE,MID,6.4,Available,850,49,5,3.3,0.7
Walcott,EVE,MID,6.2,Available,836,34,0,2,0.4
Davies,EVE,MID,5.3,Available,1193,39,3,2.2,0.2
Lookman,EVE,MID,5,NotAvail,0,0,0,0,0
Gueye,EVE,MID,5,NotAvail,0,0,0,0,0
Schneiderlin,EVE,MID,4.4,Available,827,15,0,1.2,0.6
Delph,EVE,DEF,5.3,Available,1036,25,2,1.8,0.2
André Gomes,EVE,MID,5.2,Injured,584,13,0,1.6,0.3
Gibson,EVE,DEF,4.3,Available,0,0,0,0,0.1
Holgate,EVE,DEF,4.5,Available,1368,49,5,2.9,2.6
Lössl,EVE,GKP,4.3,Available,0,0,0,0,0.3
Kean,EVE,FWD,6.4,Available,597,33,3,1.8,1.4
Gbamin,EVE,MID,4.8,Injured,135,4,0,2,0
Sidibé,EVE,DEF,5.4,Available,1242,59,9,3.7,2.1
Baningime,EVE,MID,4.5,Available,0,0,0,0,0
Gordon,EVE,FWD,4.5,Available,45,1,0,1,0
Niasse,EVE,FWD,4.5,Available,19,3,0,1,0
Cuco Martina,EVE,DEF,4,Available,0,0,0,0,0
Pereira,LEI,DEF,6.3,Available,2070,106,11,4.6,13.3
Chilwell,LEI,DEF,5.6,Available,1699,78,3,4.1,9.2
Evans,LEI,DEF,5.3,Available,2124,90,7,3.8,6.5
Fuchs,LEI,DEF,4.3,Available,544,22,2,3.1,0.4
Söyüncü,LEI,DEF,5,Available,2070,85,8,3.7,17.5
Morgan,LEI,DEF,4.1,Doubtful,159,8,0,1.1,0.6
Vardy,LEI,FWD,9.9,Available,1932,150,25,6.8,42.2
Iheanacho,LEI,FWD,5.7,Available,376,39,5,4.9,0.4
Schmeichel,LEI,GKP,5.4,Available,2160,91,3,3.8,15.1
Jakupovic,LEI,GKP,4.3,Available,0,0,0,0,0.1
Ward,LEI,GKP,4.3,Available,0,0,0,0,0.2
Maddison,LEI,MID,7.6,Available,1949,109,14,4.7,24.1
Barnes,LEI,MID,5.9,Available,1300,80,5,3.6,0.8
Ghezzal,LEI,MID,5.2,NotAvail,0,0,0,0,0
Albrighton,LEI,MID,5.1,Available,352,15,0,1.4,0.2
Gray,LEI,MID,5.1,Available,409,24,0,1.7,0.3
Ndidi,LEI,MID,5,Available,1786,63,5,3,1.9
James,LEI,MID,4.3,Injured,0,0,0,0,0.1
Amartey,LEI,MID,4.3,Injured,0,0,0,0,0.3
Mendy,LEI,MID,4.3,Injured,193,6,0,1.5,1
Choudhury,LEI,MID,4.3,Available,546,25,0,1.9,0.9
Pérez,LEI,MID,6.2,Available,1343,102,9,4.9,7.9
Justin,LEI,DEF,4.8,Available,110,7,0,2.3,0.1
Tielemans,LEI,MID,6.2,Available,1874,79,4,3.4,4.4
King,LEI,MID,4.3,NotAvail,0,0,0,0,0.3
Praet,LEI,MID,5.3,Available,705,41,3,2.6,0.1
Benkovic,LEI,DEF,4,Available,0,0,0,0,0
Robertson,LIV,DEF,7,Available,2083,117,12,4.9,20.8
Alexander-Arnold,LIV,DEF,7.6,Available,2099,140,14,5.8,42.3
van Dijk,LIV,DEF,6.5,Available,2160,121,11,5,43.7
Gomez,LIV,DEF,5.2,Available,917,59,5,3.9,4.6
Matip,LIV,DEF,5.2,Available,630,32,4,4.6,1.2
Lovren,LIV,DEF,5.3,Available,669,16,0,2,0.2
Firmino,LIV,FWD,9.6,Available,1972,111,18,4.6,17.1
Origi,LIV,FWD,5.2,Available,487,50,6,2.5,2.6
Alisson,LIV,GKP,6.1,Available,1373,73,5,4.6,10.9
Mignolet,LIV,GKP,4.5,NotAvail,0,0,0,0,0
Salah,LIV,MID,12.5,Available,1793,149,18,7.1,34.4
Mané,LIV,MID,12.3,Doubtful,1777,147,18,6.7,34.3
Chamberlain,LIV,MID,6.2,Available,785,42,2,2.6,0.5
Shaqiri,LIV,MID,6.3,Doubtful,174,14,0,2.3,0.2
Lallana,LIV,MID,5.8,Doubtful,334,24,1,2,0.1
Keita,LIV,MID,5.8,Available,209,21,3,3.5,0.2
Fabinho,LIV,MID,5.4,Available,1054,35,4,2.3,1
Henderson,LIV,MID,5.4,Available,1706,79,6,3.4,1.5
Wijnaldum,LIV,MID,5.4,Available,1942,68,3,3,2.4
Milner,LIV,MID,5.3,Doubtful,662,42,3,2.6,0.5
Camacho,LIV,MID,4.5,NotAvail,0,0,0,0,0
Brewster,LIV,FWD,4.2,NotAvail,0,0,0,0,0.5
Adrián,LIV,GKP,4.1,Available,783,25,0,2.5,1.9
Lonergan,LIV,GKP,4.2,Available,0,0,0,0,0
Kelleher,LIV,GKP,4.4,Available,0,0,0,0,0
Elliott,LIV,MID,4.5,Available,1,1,0,1,0
Jones,LIV,MID,4.5,Available,19,2,0,1,0
Williams,LIV,DEF,4,Available,0,0,0,0,0
Phillips,LIV,DEF,4,NotAvail,0,0,0,0,0
Minamino,LIV,MID,6.5,Available,57,1,0,1,0.1
Laporte,MCI,DEF,6.3,Doubtful,383,15,0,3,2.1
Walker,MCI,DEF,5.7,Available,1537,60,3,3.3,10.7
Mendy,MCI,DEF,5.5,Doubtful,921,36,2,3.3,1
Zinchenko,MCI,DEF,5.2,Available,770,32,1,3.2,2.4
Stones,MCI,DEF,5.3,Available,879,23,0,2.1,1
Otamendi,MCI,DEF,5,Available,1111,56,5,3.7,2.1
